map,time_limit_sec,optimality_percentage
room-32-32-4,120,100.00
room-32-32-4,60,52.00
room-32-32-4,30,0.00
room-32-32-4,10,0.00
room-32-32-4,5,0.00
room-32-32-4,1,0.00

empty-32-32,120,100.00
empty-32-32,60,84.00
empty-32-32,30,48.00
empty-32-32,10,20.00
empty-32-32,5,12.00
empty-32-32,1,0.00

maze-32-32-2,120,76.00
maze-32-32-2,60,28.00
maze-32-32-2,30,28.00
maze-32-32-2,10,0.00
maze-32-32-2,5,0.00
maze-32-32-2,1,0.00

random-32-32-20,120,100.00
random-32-32-20,60,100.00
random-32-32-20,30,80.00
random-32-32-20,10,80.00
random-32-32-20,5,28.00
random-32-32-20,1,28.00

room-64-64-8,120,84.00
room-64-64-8,60,84.00
room-64-64-8,30,24.00
room-64-64-8,10,24.00
room-64-64-8,5,12.00
room-64-64-8,1,12.00

random-64-64-10,120,100.00
random-64-64-10,60,92.00
random-64-64-10,30,84.00
random-64-64-10,10,68.00
random-64-64-10,5,40.00
random-64-64-10,1,12.00

random-64-64-20,120,92.00
random-64-64-20,60,76.00
random-64-64-20,30,64.00
random-64-64-20,10,32.00
random-64-64-20,5,24.00
random-64-64-20,1,28.00

maze-32-32-4,120,80.00
maze-32-32-4,60,80.00
maze-32-32-4,30,56.00
maze-32-32-4,10,44.00
maze-32-32-4,5,12.00
maze-32-32-4,1,0.00

empty-48-48,120,88.00
empty-48-48,60,96.00
empty-48-48,30,56.00
empty-48-48,10,24.00
empty-48-48,5,0.00
empty-48-48,1,0.00
