map,time_limit_sec,optimality_percentage
room-32-32-4,120,100.00
room-32-32-4,60,88.00
room-32-32-4,30,0.00
room-32-32-4,10,0.00
room-32-32-4,5,0.00
room-32-32-4,1,0.00

empty-32-32,120,100.00
empty-32-32,60,100.00
empty-32-32,30,100.00
empty-32-32,10,84.00
empty-32-32,5,20.00
empty-32-32,1,20.00

maze-32-32-2,120,76.00
maze-32-32-2,60,72.00
maze-32-32-2,30,72.00
maze-32-32-2,10,52.00
maze-32-32-2,5,0.00
maze-32-32-2,1,0.00

random-32-32-20,120,100.00
random-32-32-20,60,100.00
random-32-32-20,30,100.00
random-32-32-20,10,80.00
random-32-32-20,5,76.00
random-32-32-20,1,76.00

room-64-64-8,120,96.00
room-64-64-8,60,96.00
room-64-64-8,30,92.00
room-64-64-8,10,84.00
room-64-64-8,5,64.00
room-64-64-8,1,12.00

random-64-64-10,120,100.00
random-64-64-10,60,88.00
random-64-64-10,30,80.00
random-64-64-10,10,68.00
random-64-64-10,5,20.00
random-64-64-10,1,20.00

random-64-64-20,120,100.00
random-64-64-20,60,100.00
random-64-64-20,30,100.00
random-64-64-20,10,84.00
random-64-64-20,5,68.00
random-64-64-20,1,32.00

maze-32-32-4,120,92.00
maze-32-32-4,60,92.00
maze-32-32-4,30,88.00
maze-32-32-4,10,52.00
maze-32-32-4,5,36.00
maze-32-32-4,1,8.00

empty-48-48,120,96.00
empty-48-48,60,96.00
empty-48-48,30,92.00
empty-48-48,10,76.00
empty-48-48,5,28.00
empty-48-48,1,28.00
