map,time_limit_sec,optimality_percentage
room-32-32-4,120,100.00
room-32-32-4,60,100.00
room-32-32-4,30,100.00
room-32-32-4,10,84.00
room-32-32-4,5,68.00
room-32-32-4,1,0.00

empty-32-32,120,100.00
empty-32-32,60,100.00
empty-32-32,30,100.00
empty-32-32,10,100.00
empty-32-32,5,100.00
empty-32-32,1,84.00

maze-32-32-2,120,88.00
maze-32-32-2,60,84.00
maze-32-32-2,30,80.00
maze-32-32-2,10,68.00
maze-32-32-2,5,56.00
maze-32-32-2,1,28.00

random-32-32-20,120,100.00
random-32-32-20,60,100.00
random-32-32-20,30,100.00
random-32-32-20,10,100.00
random-32-32-20,5,100.00
random-32-32-20,1,100.00

room-64-64-8,120,100.00
room-64-64-8,60,100.00
room-64-64-8,30,100.00
room-64-64-8,10,92.00
room-64-64-8,5,88.00
room-64-64-8,1,12.00

random-64-64-10,120,100.00
random-64-64-10,60,96.00
random-64-64-10,30,88.00
random-64-64-10,10,68.00
random-64-64-10,5,48.00
random-64-64-10,1,20.00

random-64-64-20,120,100.00
random-64-64-20,60,100.00
random-64-64-20,30,100.00
random-64-64-20,10,96.00
random-64-64-20,5,92.00
random-64-64-20,1,32.00

maze-32-32-4,120,96.00
maze-32-32-4,60,92.00
maze-32-32-4,30,88.00
maze-32-32-4,10,80.00
maze-32-32-4,5,56.00
maze-32-32-4,1,16.00

empty-48-48,120,96.00
empty-48-48,60,96.00
empty-48-48,30,92.00
empty-48-48,10,76.00
empty-48-48,5,64.00
empty-48-48,1,28.00
