map,scenario,time_limit_sec,algorithm,agents,lcbs_c1,lcbs_c2,alg_c1,alg_c2,match
empty-32-32,1,30,BBMOCBS_k1,5,89,184,89,184,1
empty-32-32,1,30,BBMOCBS_k5,5,89,184,89,184,0
empty-32-32,1,30,BBMOCBS_k10,5,89,184,89,182,0
empty-32-32,1,30,BBMOCBS_pex,5,89,184,,,0
empty-32-32,1,30,BBMOCBS_eps,5,89,184,,,0
empty-32-32,2,30,BBMOCBS_k1,5,106,223,106,223,1
empty-32-32,2,30,BBMOCBS_k5,5,106,223,106,208,0
empty-32-32,2,30,BBMOCBS_k10,5,106,223,106,208,0
empty-32-32,2,30,BBMOCBS_pex,5,106,223,,,0
empty-32-32,2,30,BBMOCBS_eps,5,106,223,,,0
empty-32-32,3,30,BBMOCBS_k1,5,72,170,72,170,1
empty-32-32,3,30,BBMOCBS_k5,5,72,170,70,164,0
empty-32-32,3,30,BBMOCBS_k10,5,72,170,70,162,0
empty-32-32,3,30,BBMOCBS_pex,5,72,170,,,0
empty-32-32,3,30,BBMOCBS_eps,5,72,170,,,0
empty-32-32,4,30,BBMOCBS_k1,5,87,202,87,202,1
empty-32-32,4,30,BBMOCBS_k5,5,87,202,87,195,0
empty-32-32,4,30,BBMOCBS_k10,5,87,202,87,195,0
empty-32-32,4,30,BBMOCBS_pex,5,87,202,,,0
empty-32-32,4,30,BBMOCBS_eps,5,87,202,,,0
empty-32-32,5,30,BBMOCBS_k1,5,132,303,132,303,1
empty-32-32,5,30,BBMOCBS_k5,5,132,303,132,277,0
empty-32-32,5,30,BBMOCBS_k10,5,132,303,132,274,0
empty-32-32,5,30,BBMOCBS_pex,5,132,303,,,0
empty-32-32,5,30,BBMOCBS_eps,5,132,303,,,0
empty-32-32,6,30,BBMOCBS_k1,5,72,164,72,164,1
empty-32-32,6,30,BBMOCBS_k5,5,72,164,72,156,0
empty-32-32,6,30,BBMOCBS_k10,5,72,164,72,156,0
empty-32-32,6,30,BBMOCBS_pex,5,72,164,,,0
empty-32-32,6,30,BBMOCBS_eps,5,72,164,,,0
empty-32-32,7,30,BBMOCBS_k1,5,129,304,129,304,1
empty-32-32,7,30,BBMOCBS_k5,5,129,304,129,266,0
empty-32-32,7,30,BBMOCBS_k10,5,129,304,129,266,0
empty-32-32,7,30,BBMOCBS_pex,5,129,304,,,0
empty-32-32,7,30,BBMOCBS_eps,5,129,304,,,0
empty-32-32,8,30,BBMOCBS_k1,5,70,173,70,173,1
empty-32-32,8,30,BBMOCBS_k5,5,70,173,68,168,0
empty-32-32,8,30,BBMOCBS_k10,5,70,173,68,162,0
empty-32-32,8,30,BBMOCBS_pex,5,70,173,,,0
empty-32-32,8,30,BBMOCBS_eps,5,70,173,,,0
empty-32-32,9,30,BBMOCBS_k1,5,126,311,126,311,1
empty-32-32,9,30,BBMOCBS_k5,5,126,311,126,291,0
empty-32-32,9,30,BBMOCBS_k10,5,126,311,126,289,0
empty-32-32,9,30,BBMOCBS_pex,5,126,311,,,0
empty-32-32,9,30,BBMOCBS_eps,5,126,311,,,0
empty-32-32,10,30,BBMOCBS_k1,5,122,286,122,286,1
empty-32-32,10,30,BBMOCBS_k5,5,122,286,122,267,0
empty-32-32,10,30,BBMOCBS_k10,5,122,286,122,267,0
empty-32-32,10,30,BBMOCBS_pex,5,122,286,,,0
empty-32-32,10,30,BBMOCBS_eps,5,122,286,,,0
empty-32-32,11,30,BBMOCBS_k1,5,97,230,97,230,1
empty-32-32,11,30,BBMOCBS_k5,5,97,230,97,220,0
empty-32-32,11,30,BBMOCBS_k10,5,97,230,97,218,0
empty-32-32,11,30,BBMOCBS_pex,5,97,230,,,0
empty-32-32,11,30,BBMOCBS_eps,5,97,230,,,0
empty-32-32,12,30,BBMOCBS_k1,5,138,319,138,319,1
empty-32-32,12,30,BBMOCBS_k5,5,138,319,138,303,0
empty-32-32,12,30,BBMOCBS_k10,5,138,319,138,304,0
empty-32-32,12,30,BBMOCBS_pex,5,138,319,,,0
empty-32-32,12,30,BBMOCBS_eps,5,138,319,,,0
empty-32-32,13,30,BBMOCBS_k1,5,98,225,98,225,1
empty-32-32,13,30,BBMOCBS_k5,5,98,225,96,214,0
empty-32-32,13,30,BBMOCBS_k10,5,98,225,96,214,0
empty-32-32,13,30,BBMOCBS_pex,5,98,225,,,0
empty-32-32,13,30,BBMOCBS_eps,5,98,225,,,0
empty-32-32,14,30,BBMOCBS_k1,5,134,304,134,304,1
empty-32-32,14,30,BBMOCBS_k5,5,134,304,134,286,0
empty-32-32,14,30,BBMOCBS_k10,5,134,304,134,286,0
empty-32-32,14,30,BBMOCBS_pex,5,134,304,,,0
empty-32-32,14,30,BBMOCBS_eps,5,134,304,,,0
empty-32-32,15,30,BBMOCBS_k1,5,96,230,96,230,1
empty-32-32,15,30,BBMOCBS_k5,5,96,230,96,222,0
empty-32-32,15,30,BBMOCBS_k10,5,96,230,96,214,0
empty-32-32,15,30,BBMOCBS_pex,5,96,230,,,0
empty-32-32,15,30,BBMOCBS_eps,5,96,230,,,0
empty-32-32,16,30,BBMOCBS_k1,5,99,239,99,239,1
empty-32-32,16,30,BBMOCBS_k5,5,99,239,99,213,0
empty-32-32,16,30,BBMOCBS_k10,5,99,239,99,213,0
empty-32-32,16,30,BBMOCBS_pex,5,99,239,,,0
empty-32-32,16,30,BBMOCBS_eps,5,99,239,,,0
empty-32-32,17,30,BBMOCBS_k1,5,89,201,89,201,1
empty-32-32,17,30,BBMOCBS_k5,5,89,201,89,190,0
empty-32-32,17,30,BBMOCBS_k10,5,89,201,89,190,0
empty-32-32,17,30,BBMOCBS_pex,5,89,201,,,0
empty-32-32,17,30,BBMOCBS_eps,5,89,201,,,0
empty-32-32,18,30,BBMOCBS_k1,5,136,304,136,304,1
empty-32-32,18,30,BBMOCBS_k5,5,136,304,136,280,0
empty-32-32,18,30,BBMOCBS_k10,5,136,304,136,281,0
empty-32-32,18,30,BBMOCBS_pex,5,136,304,,,0
empty-32-32,18,30,BBMOCBS_eps,5,136,304,,,0
empty-32-32,19,30,BBMOCBS_k1,5,94,224,94,224,1
empty-32-32,19,30,BBMOCBS_k5,5,94,224,94,217,0
empty-32-32,19,30,BBMOCBS_k10,5,94,224,94,217,0
empty-32-32,19,30,BBMOCBS_pex,5,94,224,,,0
empty-32-32,19,30,BBMOCBS_eps,5,94,224,,,0
empty-32-32,20,30,BBMOCBS_k1,5,85,202,85,202,1
empty-32-32,20,30,BBMOCBS_k5,5,85,202,83,199,0
empty-32-32,20,30,BBMOCBS_k10,5,85,202,83,199,0
empty-32-32,20,30,BBMOCBS_pex,5,85,202,,,0
empty-32-32,20,30,BBMOCBS_eps,5,85,202,,,0
empty-32-32,21,30,BBMOCBS_k1,5,118,304,118,304,1
empty-32-32,21,30,BBMOCBS_k5,5,118,304,118,279,0
empty-32-32,21,30,BBMOCBS_k10,5,118,304,118,277,0
empty-32-32,21,30,BBMOCBS_pex,5,118,304,,,0
empty-32-32,21,30,BBMOCBS_eps,5,118,304,,,0
empty-32-32,22,30,BBMOCBS_k1,5,92,213,92,213,1
empty-32-32,22,30,BBMOCBS_k5,5,92,213,92,201,0
empty-32-32,22,30,BBMOCBS_k10,5,92,213,92,201,0
empty-32-32,22,30,BBMOCBS_pex,5,92,213,,,0
empty-32-32,22,30,BBMOCBS_eps,5,92,213,,,0
empty-32-32,23,30,BBMOCBS_k1,5,103,220,103,220,1
empty-32-32,23,30,BBMOCBS_k5,5,103,220,103,206,0
empty-32-32,23,30,BBMOCBS_k10,5,103,220,103,206,0
empty-32-32,23,30,BBMOCBS_pex,5,103,220,,,0
empty-32-32,23,30,BBMOCBS_eps,5,103,220,,,0
empty-32-32,24,30,BBMOCBS_k1,5,65,145,65,145,1
empty-32-32,24,30,BBMOCBS_k5,5,65,145,65,137,0
empty-32-32,24,30,BBMOCBS_k10,5,65,145,65,137,0
empty-32-32,24,30,BBMOCBS_pex,5,65,145,,,0
empty-32-32,24,30,BBMOCBS_eps,5,65,145,,,0
empty-32-32,25,30,BBMOCBS_k1,5,89,206,89,206,1
empty-32-32,25,30,BBMOCBS_k5,5,89,206,89,182,0
empty-32-32,25,30,BBMOCBS_k10,5,89,206,89,182,0
empty-32-32,25,30,BBMOCBS_pex,5,89,206,,,0
empty-32-32,25,30,BBMOCBS_eps,5,89,206,,,0
