map,scenario,time_limit_sec,algorithm,agents,lcbs_c1,lcbs_c2,alg_c1,alg_c2,match
maze-32-32-2,1,1,BBMOCBS_k1,5,180,462,180,462,1
maze-32-32-2,1,1,BBMOCBS_k5,5,180,462,180,458,0
maze-32-32-2,1,1,BBMOCBS_k10,5,180,462,180,455,0
maze-32-32-2,1,1,BBMOCBS_pex,5,180,462,,,0
maze-32-32-2,1,1,BBMOCBS_eps,5,180,462,,,0
maze-32-32-2,2,1,BBMOCBS_k1,5,152,409,152,409,1
maze-32-32-2,2,1,BBMOCBS_k5,5,152,409,152,403,0
maze-32-32-2,2,1,BBMOCBS_k10,5,152,409,152,406,0
maze-32-32-2,2,1,BBMOCBS_pex,5,152,409,,,0
maze-32-32-2,2,1,BBMOCBS_eps,5,152,409,,,0
maze-32-32-2,3,1,BBMOCBS_k1,5,,,,,0
maze-32-32-2,3,1,BBMOCBS_k5,5,,,,,0
maze-32-32-2,3,1,BBMOCBS_k10,5,,,,,0
maze-32-32-2,3,1,BBMOCBS_pex,5,,,,,0
maze-32-32-2,3,1,BBMOCBS_eps,5,,,,,0
maze-32-32-2,4,1,BBMOCBS_k1,5,,,,,0
maze-32-32-2,4,1,BBMOCBS_k5,5,,,,,0
maze-32-32-2,4,1,BBMOCBS_k10,5,,,,,0
maze-32-32-2,4,1,BBMOCBS_pex,5,,,,,0
maze-32-32-2,4,1,BBMOCBS_eps,5,,,,,0
maze-32-32-2,5,1,BBMOCBS_k1,5,,,,,0
maze-32-32-2,5,1,BBMOCBS_k5,5,,,237,640,0
maze-32-32-2,5,1,BBMOCBS_k10,5,,,237,639,0
maze-32-32-2,5,1,BBMOCBS_pex,5,,,,,0
maze-32-32-2,5,1,BBMOCBS_eps,5,,,,,0
maze-32-32-2,6,1,BBMOCBS_k1,5,314,836,314,836,0
maze-32-32-2,6,1,BBMOCBS_k5,5,314,836,,,0
maze-32-32-2,6,1,BBMOCBS_k10,5,314,836,314,831,0
maze-32-32-2,6,1,BBMOCBS_pex,5,314,836,,,0
maze-32-32-2,6,1,BBMOCBS_eps,5,314,836,,,0
maze-32-32-2,7,1,BBMOCBS_k1,5,,,,,0
maze-32-32-2,7,1,BBMOCBS_k5,5,,,,,0
maze-32-32-2,7,1,BBMOCBS_k10,5,,,,,0
maze-32-32-2,7,1,BBMOCBS_pex,5,,,,,0
maze-32-32-2,7,1,BBMOCBS_eps,5,,,,,0
maze-32-32-2,8,1,BBMOCBS_k1,5,,,,,0
maze-32-32-2,8,1,BBMOCBS_k5,5,,,,,0
maze-32-32-2,8,1,BBMOCBS_k10,5,,,,,0
maze-32-32-2,8,1,BBMOCBS_pex,5,,,,,0
maze-32-32-2,8,1,BBMOCBS_eps,5,,,,,0
maze-32-32-2,9,1,BBMOCBS_k1,5,,,,,0
maze-32-32-2,9,1,BBMOCBS_k5,5,,,,,0
maze-32-32-2,9,1,BBMOCBS_k10,5,,,,,0
maze-32-32-2,9,1,BBMOCBS_pex,5,,,,,0
maze-32-32-2,9,1,BBMOCBS_eps,5,,,,,0
maze-32-32-2,10,1,BBMOCBS_k1,5,,,,,0
maze-32-32-2,10,1,BBMOCBS_k5,5,,,,,0
maze-32-32-2,10,1,BBMOCBS_k10,5,,,,,0
maze-32-32-2,10,1,BBMOCBS_pex,5,,,,,0
maze-32-32-2,10,1,BBMOCBS_eps,5,,,,,0
maze-32-32-2,11,1,BBMOCBS_k1,5,,,,,0
maze-32-32-2,11,1,BBMOCBS_k5,5,,,,,0
maze-32-32-2,11,1,BBMOCBS_k10,5,,,,,0
maze-32-32-2,11,1,BBMOCBS_pex,5,,,,,0
maze-32-32-2,11,1,BBMOCBS_eps,5,,,,,0
maze-32-32-2,12,1,BBMOCBS_k1,5,,,,,0
maze-32-32-2,12,1,BBMOCBS_k5,5,,,,,0
maze-32-32-2,12,1,BBMOCBS_k10,5,,,,,0
maze-32-32-2,12,1,BBMOCBS_pex,5,,,,,0
maze-32-32-2,12,1,BBMOCBS_eps,5,,,,,0
maze-32-32-2,13,1,BBMOCBS_k1,5,,,,,0
maze-32-32-2,13,1,BBMOCBS_k5,5,,,,,0
maze-32-32-2,13,1,BBMOCBS_k10,5,,,,,0
maze-32-32-2,13,1,BBMOCBS_pex,5,,,,,0
maze-32-32-2,13,1,BBMOCBS_eps,5,,,,,0
maze-32-32-2,14,1,BBMOCBS_k1,5,222,599,222,599,0
maze-32-32-2,14,1,BBMOCBS_k5,5,222,599,,,0
maze-32-32-2,14,1,BBMOCBS_k10,5,222,599,,,0
maze-32-32-2,14,1,BBMOCBS_pex,5,222,599,,,0
maze-32-32-2,14,1,BBMOCBS_eps,5,222,599,,,0
maze-32-32-2,15,1,BBMOCBS_k1,5,,,,,0
maze-32-32-2,15,1,BBMOCBS_k5,5,,,,,0
maze-32-32-2,15,1,BBMOCBS_k10,5,,,,,0
maze-32-32-2,15,1,BBMOCBS_pex,5,,,,,0
maze-32-32-2,15,1,BBMOCBS_eps,5,,,,,0
maze-32-32-2,16,1,BBMOCBS_k1,5,233,658,,,0
maze-32-32-2,16,1,BBMOCBS_k5,5,233,658,231,616,0
maze-32-32-2,16,1,BBMOCBS_k10,5,233,658,,,0
maze-32-32-2,16,1,BBMOCBS_pex,5,233,658,,,0
maze-32-32-2,16,1,BBMOCBS_eps,5,233,658,,,0
maze-32-32-2,17,1,BBMOCBS_k1,5,185,527,185,521,0
maze-32-32-2,17,1,BBMOCBS_k5,5,185,527,185,516,0
maze-32-32-2,17,1,BBMOCBS_k10,5,185,527,185,514,0
maze-32-32-2,17,1,BBMOCBS_pex,5,185,527,,,0
maze-32-32-2,17,1,BBMOCBS_eps,5,185,527,,,0
maze-32-32-2,18,1,BBMOCBS_k1,5,,,,,0
maze-32-32-2,18,1,BBMOCBS_k5,5,,,,,0
maze-32-32-2,18,1,BBMOCBS_k10,5,,,,,0
maze-32-32-2,18,1,BBMOCBS_pex,5,,,,,0
maze-32-32-2,18,1,BBMOCBS_eps,5,,,,,0
maze-32-32-2,19,1,BBMOCBS_k1,5,,,,,0
maze-32-32-2,19,1,BBMOCBS_k5,5,,,300,823,0
maze-32-32-2,19,1,BBMOCBS_k10,5,,,,,0
maze-32-32-2,19,1,BBMOCBS_pex,5,,,,,0
maze-32-32-2,19,1,BBMOCBS_eps,5,,,,,0
maze-32-32-2,20,1,BBMOCBS_k1,5,,,,,0
maze-32-32-2,20,1,BBMOCBS_k5,5,,,,,0
maze-32-32-2,20,1,BBMOCBS_k10,5,,,,,0
maze-32-32-2,20,1,BBMOCBS_pex,5,,,,,0
maze-32-32-2,20,1,BBMOCBS_eps,5,,,,,0
maze-32-32-2,21,1,BBMOCBS_k1,5,144,376,144,376,1
maze-32-32-2,21,1,BBMOCBS_k5,5,144,376,144,366,0
maze-32-32-2,21,1,BBMOCBS_k10,5,144,376,144,373,0
maze-32-32-2,21,1,BBMOCBS_pex,5,144,376,,,0
maze-32-32-2,21,1,BBMOCBS_eps,5,144,376,,,0
maze-32-32-2,22,1,BBMOCBS_k1,5,,,,,0
maze-32-32-2,22,1,BBMOCBS_k5,5,,,,,0
maze-32-32-2,22,1,BBMOCBS_k10,5,,,,,0
maze-32-32-2,22,1,BBMOCBS_pex,5,,,,,0
maze-32-32-2,22,1,BBMOCBS_eps,5,,,,,0
maze-32-32-2,23,1,BBMOCBS_k1,5,,,,,0
maze-32-32-2,23,1,BBMOCBS_k5,5,,,,,0
maze-32-32-2,23,1,BBMOCBS_k10,5,,,,,0
maze-32-32-2,23,1,BBMOCBS_pex,5,,,,,0
maze-32-32-2,23,1,BBMOCBS_eps,5,,,,,0
maze-32-32-2,24,1,BBMOCBS_k1,5,,,,,0
maze-32-32-2,24,1,BBMOCBS_k5,5,,,,,0
maze-32-32-2,24,1,BBMOCBS_k10,5,,,,,0
maze-32-32-2,24,1,BBMOCBS_pex,5,,,,,0
maze-32-32-2,24,1,BBMOCBS_eps,5,,,,,0
maze-32-32-2,25,1,BBMOCBS_k1,5,,,,,0
maze-32-32-2,25,1,BBMOCBS_k5,5,,,,,0
maze-32-32-2,25,1,BBMOCBS_k10,5,,,,,0
maze-32-32-2,25,1,BBMOCBS_pex,5,,,,,0
maze-32-32-2,25,1,BBMOCBS_eps,5,,,,,0
