map,scenario,time_limit_sec,algorithm,agents,lcbs_c1,lcbs_c2,alg_c1,alg_c2,match
random-64-64-20,1,1,BBMOCBS_k1,5,,,,,0
random-64-64-20,1,1,BBMOCBS_k5,5,,,,,0
random-64-64-20,1,1,BBMOCBS_k10,5,,,,,0
random-64-64-20,1,1,BBMOCBS_pex,5,,,,,0
random-64-64-20,1,1,BBMOCBS_eps,5,,,,,0
random-64-64-20,2,1,BBMOCBS_k1,5,,,,,0
random-64-64-20,2,1,BBMOCBS_k5,5,,,,,0
random-64-64-20,2,1,BBMOCBS_k10,5,,,,,0
random-64-64-20,2,1,BBMOCBS_pex,5,,,,,0
random-64-64-20,2,1,BBMOCBS_eps,5,,,,,0
random-64-64-20,3,1,BBMOCBS_k1,5,,,,,0
random-64-64-20,3,1,BBMOCBS_k5,5,,,,,0
random-64-64-20,3,1,BBMOCBS_k10,5,,,,,0
random-64-64-20,3,1,BBMOCBS_pex,5,,,,,0
random-64-64-20,3,1,BBMOCBS_eps,5,,,,,0
random-64-64-20,4,1,BBMOCBS_k1,5,,,,,0
random-64-64-20,4,1,BBMOCBS_k5,5,,,,,0
random-64-64-20,4,1,BBMOCBS_k10,5,,,,,0
random-64-64-20,4,1,BBMOCBS_pex,5,,,,,0
random-64-64-20,4,1,BBMOCBS_eps,5,,,,,0
random-64-64-20,5,1,BBMOCBS_k1,5,116,297,116,297,1
random-64-64-20,5,1,BBMOCBS_k5,5,116,297,116,292,0
random-64-64-20,5,1,BBMOCBS_k10,5,116,297,116,292,0
random-64-64-20,5,1,BBMOCBS_pex,5,116,297,,,0
random-64-64-20,5,1,BBMOCBS_eps,5,116,297,,,0
random-64-64-20,6,1,BBMOCBS_k1,5,,,,,0
random-64-64-20,6,1,BBMOCBS_k5,5,,,,,0
random-64-64-20,6,1,BBMOCBS_k10,5,,,,,0
random-64-64-20,6,1,BBMOCBS_pex,5,,,,,0
random-64-64-20,6,1,BBMOCBS_eps,5,,,,,0
random-64-64-20,7,1,BBMOCBS_k1,5,,,,,0
random-64-64-20,7,1,BBMOCBS_k5,5,,,,,0
random-64-64-20,7,1,BBMOCBS_k10,5,,,,,0
random-64-64-20,7,1,BBMOCBS_pex,5,,,,,0
random-64-64-20,7,1,BBMOCBS_eps,5,,,,,0
random-64-64-20,8,1,BBMOCBS_k1,5,,,,,0
random-64-64-20,8,1,BBMOCBS_k5,5,,,,,0
random-64-64-20,8,1,BBMOCBS_k10,5,,,,,0
random-64-64-20,8,1,BBMOCBS_pex,5,,,,,0
random-64-64-20,8,1,BBMOCBS_eps,5,,,,,0
random-64-64-20,9,1,BBMOCBS_k1,5,,,,,0
random-64-64-20,9,1,BBMOCBS_k5,5,,,,,0
random-64-64-20,9,1,BBMOCBS_k10,5,,,,,0
random-64-64-20,9,1,BBMOCBS_pex,5,,,,,0
random-64-64-20,9,1,BBMOCBS_eps,5,,,,,0
random-64-64-20,10,1,BBMOCBS_k1,5,,,,,0
random-64-64-20,10,1,BBMOCBS_k5,5,,,,,0
random-64-64-20,10,1,BBMOCBS_k10,5,,,,,0
random-64-64-20,10,1,BBMOCBS_pex,5,,,,,0
random-64-64-20,10,1,BBMOCBS_eps,5,,,,,0
random-64-64-20,11,1,BBMOCBS_k1,5,140,351,140,351,1
random-64-64-20,11,1,BBMOCBS_k5,5,140,351,140,335,0
random-64-64-20,11,1,BBMOCBS_k10,5,140,351,140,335,0
random-64-64-20,11,1,BBMOCBS_pex,5,140,351,,,0
random-64-64-20,11,1,BBMOCBS_eps,5,140,351,,,0
random-64-64-20,12,1,BBMOCBS_k1,5,,,,,0
random-64-64-20,12,1,BBMOCBS_k5,5,,,,,0
random-64-64-20,12,1,BBMOCBS_k10,5,,,,,0
random-64-64-20,12,1,BBMOCBS_pex,5,,,,,0
random-64-64-20,12,1,BBMOCBS_eps,5,,,,,0
random-64-64-20,13,1,BBMOCBS_k1,5,,,,,0
random-64-64-20,13,1,BBMOCBS_k5,5,,,212,510,0
random-64-64-20,13,1,BBMOCBS_k10,5,,,212,511,0
random-64-64-20,13,1,BBMOCBS_pex,5,,,,,0
random-64-64-20,13,1,BBMOCBS_eps,5,,,,,0
random-64-64-20,14,1,BBMOCBS_k1,5,,,,,0
random-64-64-20,14,1,BBMOCBS_k5,5,,,,,0
random-64-64-20,14,1,BBMOCBS_k10,5,,,,,0
random-64-64-20,14,1,BBMOCBS_pex,5,,,,,0
random-64-64-20,14,1,BBMOCBS_eps,5,,,,,0
random-64-64-20,15,1,BBMOCBS_k1,5,215,549,215,549,1
random-64-64-20,15,1,BBMOCBS_k5,5,215,549,215,525,0
random-64-64-20,15,1,BBMOCBS_k10,5,215,549,215,515,0
