map,scenario,time_limit_sec,algorithm,agents,lcbs_c1,lcbs_c2,alg_c1,alg_c2,match
warehouse-10-20-10-2-1,1,120,BBMOCBS_k1,5,,,,,0
warehouse-10-20-10-2-1,1,120,BBMOCBS_k5,5,,,,,0
warehouse-10-20-10-2-1,1,120,BBMOCBS_k10,5,,,,,0
warehouse-10-20-10-2-1,1,120,BBMOCBS_pex,5,,,,,0
warehouse-10-20-10-2-1,1,120,BBMOCBS_eps,5,,,,,0
warehouse-10-20-10-2-1,2,120,BBMOCBS_k1,5,,,,,0
warehouse-10-20-10-2-1,2,120,BBMOCBS_k5,5,,,,,0
warehouse-10-20-10-2-1,2,120,BBMOCBS_k10,5,,,,,0
warehouse-10-20-10-2-1,2,120,BBMOCBS_pex,5,,,,,0
warehouse-10-20-10-2-1,2,120,BBMOCBS_eps,5,,,,,0
warehouse-10-20-10-2-1,3,120,BBMOCBS_k1,5,,,,,0
warehouse-10-20-10-2-1,3,120,BBMOCBS_k5,5,,,,,0
warehouse-10-20-10-2-1,3,120,BBMOCBS_k10,5,,,,,0
warehouse-10-20-10-2-1,3,120,BBMOCBS_pex,5,,,,,0
warehouse-10-20-10-2-1,3,120,BBMOCBS_eps,5,,,,,0
warehouse-10-20-10-2-1,4,120,BBMOCBS_k1,5,,,,,0
warehouse-10-20-10-2-1,4,120,BBMOCBS_k5,5,,,,,0
warehouse-10-20-10-2-1,4,120,BBMOCBS_k10,5,,,,,0
warehouse-10-20-10-2-1,4,120,BBMOCBS_pex,5,,,,,0
warehouse-10-20-10-2-1,4,120,BBMOCBS_eps,5,,,,,0
warehouse-10-20-10-2-1,5,120,BBMOCBS_k1,5,,,,,0
warehouse-10-20-10-2-1,5,120,BBMOCBS_k5,5,,,,,0
warehouse-10-20-10-2-1,5,120,BBMOCBS_k10,5,,,,,0
warehouse-10-20-10-2-1,5,120,BBMOCBS_pex,5,,,,,0
warehouse-10-20-10-2-1,5,120,BBMOCBS_eps,5,,,,,0
warehouse-10-20-10-2-1,6,120,BBMOCBS_k1,5,,,,,0
warehouse-10-20-10-2-1,6,120,BBMOCBS_k5,5,,,,,0
warehouse-10-20-10-2-1,6,120,BBMOCBS_k10,5,,,,,0
warehouse-10-20-10-2-1,6,120,BBMOCBS_pex,5,,,,,0
warehouse-10-20-10-2-1,6,120,BBMOCBS_eps,5,,,,,0
warehouse-10-20-10-2-1,7,120,BBMOCBS_k1,5,,,,,0
warehouse-10-20-10-2-1,7,120,BBMOCBS_k5,5,,,,,0
warehouse-10-20-10-2-1,7,120,BBMOCBS_k10,5,,,,,0
warehouse-10-20-10-2-1,7,120,BBMOCBS_pex,5,,,,,0
warehouse-10-20-10-2-1,7,120,BBMOCBS_eps,5,,,,,0
warehouse-10-20-10-2-1,8,120,BBMOCBS_k1,5,,,,,0
warehouse-10-20-10-2-1,8,120,BBMOCBS_k5,5,,,,,0
warehouse-10-20-10-2-1,8,120,BBMOCBS_k10,5,,,,,0
warehouse-10-20-10-2-1,8,120,BBMOCBS_pex,5,,,,,0
warehouse-10-20-10-2-1,8,120,BBMOCBS_eps,5,,,,,0
warehouse-10-20-10-2-1,9,120,BBMOCBS_k1,5,,,,,0
warehouse-10-20-10-2-1,9,120,BBMOCBS_k5,5,,,,,0
warehouse-10-20-10-2-1,9,120,BBMOCBS_k10,5,,,,,0
warehouse-10-20-10-2-1,9,120,BBMOCBS_pex,5,,,,,0
warehouse-10-20-10-2-1,9,120,BBMOCBS_eps,5,,,,,0
warehouse-10-20-10-2-1,10,120,BBMOCBS_k1,5,,,,,0
warehouse-10-20-10-2-1,10,120,BBMOCBS_k5,5,,,,,0
warehouse-10-20-10-2-1,10,120,BBMOCBS_k10,5,,,,,0
warehouse-10-20-10-2-1,10,120,BBMOCBS_pex,5,,,,,0
warehouse-10-20-10-2-1,10,120,BBMOCBS_eps,5,,,,,0
warehouse-10-20-10-2-1,11,120,BBMOCBS_k1,5,,,,,0
warehouse-10-20-10-2-1,11,120,BBMOCBS_k5,5,,,,,0
warehouse-10-20-10-2-1,11,120,BBMOCBS_k10,5,,,,,0
warehouse-10-20-10-2-1,11,120,BBMOCBS_pex,5,,,,,0
warehouse-10-20-10-2-1,11,120,BBMOCBS_eps,5,,,,,0
warehouse-10-20-10-2-1,12,120,BBMOCBS_k1,5,,,,,0
warehouse-10-20-10-2-1,12,120,BBMOCBS_k5,5,,,,,0
warehouse-10-20-10-2-1,12,120,BBMOCBS_k10,5,,,,,0
warehouse-10-20-10-2-1,12,120,BBMOCBS_pex,5,,,,,0
warehouse-10-20-10-2-1,12,120,BBMOCBS_eps,5,,,,,0
warehouse-10-20-10-2-1,13,120,BBMOCBS_k1,5,,,,,0
warehouse-10-20-10-2-1,13,120,BBMOCBS_k5,5,,,,,0
warehouse-10-20-10-2-1,13,120,BBMOCBS_k10,5,,,,,0
warehouse-10-20-10-2-1,13,120,BBMOCBS_pex,5,,,,,0
warehouse-10-20-10-2-1,13,120,BBMOCBS_eps,5,,,,,0
warehouse-10-20-10-2-1,14,120,BBMOCBS_k1,5,,,,,0
warehouse-10-20-10-2-1,14,120,BBMOCBS_k5,5,,,,,0
warehouse-10-20-10-2-1,14,120,BBMOCBS_k10,5,,,,,0
warehouse-10-20-10-2-1,14,120,BBMOCBS_pex,5,,,,,0
warehouse-10-20-10-2-1,14,120,BBMOCBS_eps,5,,,,,0
warehouse-10-20-10-2-1,15,120,BBMOCBS_k1,5,,,,,0
warehouse-10-20-10-2-1,15,120,BBMOCBS_k5,5,,,,,0
warehouse-10-20-10-2-1,15,120,BBMOCBS_k10,5,,,,,0
warehouse-10-20-10-2-1,15,120,BBMOCBS_pex,5,,,,,0
warehouse-10-20-10-2-1,15,120,BBMOCBS_eps,5,,,,,0
warehouse-10-20-10-2-1,16,120,BBMOCBS_k1,5,,,,,0
warehouse-10-20-10-2-1,16,120,BBMOCBS_k5,5,,,,,0
warehouse-10-20-10-2-1,16,120,BBMOCBS_k10,5,,,,,0
warehouse-10-20-10-2-1,16,120,BBMOCBS_pex,5,,,,,0
warehouse-10-20-10-2-1,16,120,BBMOCBS_eps,5,,,,,0
warehouse-10-20-10-2-1,17,120,BBMOCBS_k1,5,,,,,0
warehouse-10-20-10-2-1,17,120,BBMOCBS_k5,5,,,,,0
warehouse-10-20-10-2-1,17,120,BBMOCBS_k10,5,,,,,0
warehouse-10-20-10-2-1,17,120,BBMOCBS_pex,5,,,,,0
warehouse-10-20-10-2-1,17,120,BBMOCBS_eps,5,,,,,0
warehouse-10-20-10-2-1,18,120,BBMOCBS_k1,5,,,,,0
warehouse-10-20-10-2-1,18,120,BBMOCBS_k5,5,,,,,0
warehouse-10-20-10-2-1,18,120,BBMOCBS_k10,5,,,,,0
warehouse-10-20-10-2-1,18,120,BBMOCBS_pex,5,,,,,0
warehouse-10-20-10-2-1,18,120,BBMOCBS_eps,5,,,,,0
warehouse-10-20-10-2-1,19,120,BBMOCBS_k1,5,,,,,0
warehouse-10-20-10-2-1,19,120,BBMOCBS_k5,5,,,,,0
warehouse-10-20-10-2-1,19,120,BBMOCBS_k10,5,,,,,0
warehouse-10-20-10-2-1,19,120,BBMOCBS_pex,5,,,,,0
warehouse-10-20-10-2-1,19,120,BBMOCBS_eps,5,,,,,0
warehouse-10-20-10-2-1,20,120,BBMOCBS_k1,5,,,,,0
warehouse-10-20-10-2-1,20,120,BBMOCBS_k5,5,,,,,0
warehouse-10-20-10-2-1,20,120,BBMOCBS_k10,5,,,,,0
warehouse-10-20-10-2-1,20,120,BBMOCBS_pex,5,,,,,0
warehouse-10-20-10-2-1,20,120,BBMOCBS_eps,5,,,,,0
warehouse-10-20-10-2-1,21,120,BBMOCBS_k1,5,,,,,0
warehouse-10-20-10-2-1,21,120,BBMOCBS_k5,5,,,,,0
warehouse-10-20-10-2-1,21,120,BBMOCBS_k10,5,,,,,0
warehouse-10-20-10-2-1,21,120,BBMOCBS_pex,5,,,,,0
warehouse-10-20-10-2-1,21,120,BBMOCBS_eps,5,,,,,0
warehouse-10-20-10-2-1,22,120,BBMOCBS_k1,5,,,,,0
warehouse-10-20-10-2-1,22,120,BBMOCBS_k5,5,,,,,0
warehouse-10-20-10-2-1,22,120,BBMOCBS_k10,5,,,,,0
warehouse-10-20-10-2-1,22,120,BBMOCBS_pex,5,,,,,0
warehouse-10-20-10-2-1,22,120,BBMOCBS_eps,5,,,,,0
warehouse-10-20-10-2-1,23,120,BBMOCBS_k1,5,,,,,0
warehouse-10-20-10-2-1,23,120,BBMOCBS_k5,5,,,,,0
warehouse-10-20-10-2-1,23,120,BBMOCBS_k10,5,,,,,0
warehouse-10-20-10-2-1,23,120,BBMOCBS_pex,5,,,,,0
warehouse-10-20-10-2-1,23,120,BBMOCBS_eps,5,,,,,0
warehouse-10-20-10-2-1,24,120,BBMOCBS_k1,5,,,,,0
warehouse-10-20-10-2-1,24,120,BBMOCBS_k5,5,,,,,0
warehouse-10-20-10-2-1,24,120,BBMOCBS_k10,5,,,,,0
warehouse-10-20-10-2-1,24,120,BBMOCBS_pex,5,,,,,0
warehouse-10-20-10-2-1,24,120,BBMOCBS_eps,5,,,,,0
warehouse-10-20-10-2-1,25,120,BBMOCBS_k1,5,,,,,0
warehouse-10-20-10-2-1,25,120,BBMOCBS_k5,5,,,,,0
warehouse-10-20-10-2-1,25,120,BBMOCBS_k10,5,,,,,0
warehouse-10-20-10-2-1,25,120,BBMOCBS_pex,5,,,,,0
warehouse-10-20-10-2-1,25,120,BBMOCBS_eps,5,,,,,0
