map,scenario,time_limit_sec,algorithm,agents,lcbs_c1,lcbs_c2,alg_c1,alg_c2,match
maze-32-32-2,1,60,BBMOCBS_k1,5,180,457,180,457,1
maze-32-32-2,1,60,BBMOCBS_k5,5,180,457,180,457,1
maze-32-32-2,1,60,BBMOCBS_k10,5,180,457,180,457,1
maze-32-32-2,1,60,BBMOCBS_pex,5,180,457,,,0
maze-32-32-2,1,60,BBMOCBS_eps,5,180,457,,,0
maze-32-32-2,2,60,BBMOCBS_k1,5,152,407,152,407,1
maze-32-32-2,2,60,BBMOCBS_k5,5,152,407,152,406,0
maze-32-32-2,2,60,BBMOCBS_k10,5,152,407,152,407,1
maze-32-32-2,2,60,BBMOCBS_pex,5,152,407,,,0
maze-32-32-2,2,60,BBMOCBS_eps,5,152,407,,,0
maze-32-32-2,3,60,BBMOCBS_k1,5,308,813,308,813,1
maze-32-32-2,3,60,BBMOCBS_k5,5,308,813,308,806,0
maze-32-32-2,3,60,BBMOCBS_k10,5,308,813,308,814,0
maze-32-32-2,3,60,BBMOCBS_pex,5,308,813,,,0
maze-32-32-2,3,60,BBMOCBS_eps,5,308,813,,,0
maze-32-32-2,4,60,BBMOCBS_k1,5,361,976,361,976,1
maze-32-32-2,4,60,BBMOCBS_k5,5,361,976,361,986,0
maze-32-32-2,4,60,BBMOCBS_k10,5,361,976,361,997,0
maze-32-32-2,4,60,BBMOCBS_pex,5,361,976,,,0
maze-32-32-2,4,60,BBMOCBS_eps,5,361,976,,,0
maze-32-32-2,5,60,BBMOCBS_k1,5,237,636,237,636,1
maze-32-32-2,5,60,BBMOCBS_k5,5,237,636,237,637,0
maze-32-32-2,5,60,BBMOCBS_k10,5,237,636,237,641,0
maze-32-32-2,5,60,BBMOCBS_pex,5,237,636,,,0
maze-32-32-2,5,60,BBMOCBS_eps,5,237,636,,,0
maze-32-32-2,6,60,BBMOCBS_k1,5,314,814,314,814,1
maze-32-32-2,6,60,BBMOCBS_k5,5,314,814,314,814,1
maze-32-32-2,6,60,BBMOCBS_k10,5,314,814,314,814,1
maze-32-32-2,6,60,BBMOCBS_pex,5,314,814,,,0
maze-32-32-2,6,60,BBMOCBS_eps,5,314,814,,,0
maze-32-32-2,7,60,BBMOCBS_k1,5,245,676,245,676,1
maze-32-32-2,7,60,BBMOCBS_k5,5,245,676,245,661,0
maze-32-32-2,7,60,BBMOCBS_k10,5,245,676,245,676,1
maze-32-32-2,7,60,BBMOCBS_pex,5,245,676,,,0
