map,scenario,time_limit_sec,algorithm,agents,lcbs_c1,lcbs_c2,alg_c1,alg_c2,match
random-32-32-20,1,30,BBMOCBS_k1,5,132,346,132,346,1
random-32-32-20,1,30,BBMOCBS_k5,5,132,346,132,346,1
random-32-32-20,1,30,BBMOCBS_k10,5,132,346,132,346,1
random-32-32-20,1,30,BBMOCBS_pex,5,132,346,,,0
random-32-32-20,1,30,BBMOCBS_eps,5,132,346,,,0
random-32-32-20,2,30,BBMOCBS_k1,5,82,192,82,192,1
random-32-32-20,2,30,BBMOCBS_k5,5,82,192,82,192,1
random-32-32-20,2,30,BBMOCBS_k10,5,82,192,82,192,1
random-32-32-20,2,30,BBMOCBS_pex,5,82,192,,,0
random-32-32-20,2,30,BBMOCBS_eps,5,82,192,,,0
random-32-32-20,3,30,BBMOCBS_k1,5,131,337,131,337,1
random-32-32-20,3,30,BBMOCBS_k5,5,131,337,131,337,1
random-32-32-20,3,30,BBMOCBS_k10,5,131,337,131,337,1
random-32-32-20,3,30,BBMOCBS_pex,5,131,337,,,0
random-32-32-20,3,30,BBMOCBS_eps,5,131,337,,,0
random-32-32-20,4,30,BBMOCBS_k1,5,147,373,147,373,1
random-32-32-20,4,30,BBMOCBS_k5,5,147,373,147,373,1
random-32-32-20,4,30,BBMOCBS_k10,5,147,373,147,373,1
random-32-32-20,4,30,BBMOCBS_pex,5,147,373,,,0
random-32-32-20,4,30,BBMOCBS_eps,5,147,373,,,0
random-32-32-20,5,30,BBMOCBS_k1,5,126,326,126,326,1
random-32-32-20,5,30,BBMOCBS_k5,5,126,326,126,326,1
random-32-32-20,5,30,BBMOCBS_k10,5,126,326,126,326,1
random-32-32-20,5,30,BBMOCBS_pex,5,126,326,,,0
random-32-32-20,5,30,BBMOCBS_eps,5,126,326,,,0
random-32-32-20,6,30,BBMOCBS_k1,5,120,292,120,292,1
random-32-32-20,6,30,BBMOCBS_k5,5,120,292,120,292,1
random-32-32-20,6,30,BBMOCBS_k10,5,120,292,120,292,1
random-32-32-20,6,30,BBMOCBS_pex,5,120,292,,,0
random-32-32-20,6,30,BBMOCBS_eps,5,120,292,,,0
random-32-32-20,7,30,BBMOCBS_k1,5,124,318,124,318,1
random-32-32-20,7,30,BBMOCBS_k5,5,124,318,124,318,1
random-32-32-20,7,30,BBMOCBS_k10,5,124,318,124,318,1
random-32-32-20,7,30,BBMOCBS_pex,5,124,318,,,0
random-32-32-20,7,30,BBMOCBS_eps,5,124,318,,,0
random-32-32-20,8,30,BBMOCBS_k1,5,106,260,106,260,1
random-32-32-20,8,30,BBMOCBS_k5,5,106,260,106,260,1
random-32-32-20,8,30,BBMOCBS_k10,5,106,260,106,260,1
random-32-32-20,8,30,BBMOCBS_pex,5,106,260,,,0
random-32-32-20,8,30,BBMOCBS_eps,5,106,260,,,0
random-32-32-20,9,30,BBMOCBS_k1,5,66,173,66,173,1
random-32-32-20,9,30,BBMOCBS_k5,5,66,173,66,173,1
random-32-32-20,9,30,BBMOCBS_k10,5,66,173,66,173,1
random-32-32-20,9,30,BBMOCBS_pex,5,66,173,,,0
random-32-32-20,9,30,BBMOCBS_eps,5,66,173,,,0
random-32-32-20,10,30,BBMOCBS_k1,5,112,311,112,311,1
random-32-32-20,10,30,BBMOCBS_k5,5,112,311,112,310,0
random-32-32-20,10,30,BBMOCBS_k10,5,112,311,112,311,1
random-32-32-20,10,30,BBMOCBS_pex,5,112,311,,,0
random-32-32-20,10,30,BBMOCBS_eps,5,112,311,,,0
random-32-32-20,11,30,BBMOCBS_k1,5,136,346,136,346,1
random-32-32-20,11,30,BBMOCBS_k5,5,136,346,136,346,1
random-32-32-20,11,30,BBMOCBS_k10,5,136,346,136,346,1
random-32-32-20,11,30,BBMOCBS_pex,5,136,346,,,0
random-32-32-20,11,30,BBMOCBS_eps,5,136,346,,,0
random-32-32-20,12,30,BBMOCBS_k1,5,115,257,115,257,1
random-32-32-20,12,30,BBMOCBS_k5,5,115,257,115,257,1
random-32-32-20,12,30,BBMOCBS_k10,5,115,257,115,257,1
random-32-32-20,12,30,BBMOCBS_pex,5,115,257,,,0
random-32-32-20,12,30,BBMOCBS_eps,5,115,257,,,0
random-32-32-20,13,30,BBMOCBS_k1,5,92,220,92,220,1
