Objectives,Agents,SuccessRate

2,5,1
2,10,1
2,15,1
2,20,1
2,25,1
2,30,1
2,35,1

3,5,1
3,10,1
3,15,1
3,20,1
3,25,1
3,30,1
3,35,1

4,5,1
4,10,1
4,15,1
4,20,1
4,25,1
4,30,1
4,35,1

5,5,1
5,10,1
5,15,1
5,20,1
5,25,1
5,30,1
5,35,1

6,5,1
6,10,1
6,15,1
6,20,1
6,25,1
6,30,0.96
6,35,0.96

7,5,1
7,10,1
7,15,1
7,20,1
7,25,0.92
7,30,0.92
7,35,0.92

8,5,1
8,10,1
8,15,0.92
8,20,0.96
8,25,0.88
8,30,0.7
8,35,0.72

9,5,0.96
9,10,0.88
9,15,0.88
9,20,0.88
9,25,0.88
9,30,0.76
9,35,0.72

10,5,0.88
10,10,0.88
10,15,0.88
10,20,0.76
10,25,0.64
10,30,0.6
10,35,0.6
