Objectives,Agents,SuccessRate

2,5,1
3,5,0.84
4,5,0.36
5,5,0.28
6,5,0.12
7,5,0.12
8,5,0.08
9,5,0.08
10,5,0.04

2,10,1
3,10,0.84
4,10,0.36
5,10,0.28
6,10,0.12
7,10,0.12
8,10,0.08
9,10,0.08
10,10,0.04

2,15,1
3,15,0.84
4,15,0.36
5,15,0.28
6,15,0.12
7,15,0.12
8,15,0.08
9,15,0.08
10,15,0.04

2,20,1
3,20,0.84
4,20,0.36
5,20,0.28
6,20,0.12
7,20,0.12
8,20,0.08
9,20,0.08
10,20,0.04

2,25,1
3,25,0.84
4,25,0.36
5,25,0.28
6,25,0.12
7,25,0.12
8,25,0.08
9,25,0.08
10,25,0.04

2,30,1
3,30,0.84
4,30,0.36
5,30,0.28
6,30,0.12
7,30,0.12
8,30,0.08
9,30,0.08
10,30,0.04

2,35,1
3,35,0.84
4,35,0.36
5,35,0.28
6,35,0.12
7,35,0.12
8,35,0.08
9,35,0.08
10,35,0.04

