Objectives,Agents,SuccessRate

2,5,1
2,10,1
2,15,1
2,20,1
2,25,0.8
2,30,0.7
2,35,0.5

3,5,1
3,10,1
3,15,1
3,20,1
3,25,0.7
3,30,0.5
3,35,0.3

4,5,1
4,10,0.9
4,15,0.7
4,20,0.1
4,25,0.1
4,30,0
4,35,0

5,5,0.9
5,10,0.7
5,15,0.3
5,20,0
5,25,0
5,30,0
5,35,0

6,5,0.9
6,10,0.6
6,15,0.2
6,20,0
6,25,0
6,30,0
6,35,0

7,5,0.9
7,10,0.6
7,15,0.2
7,20,0
7,25,0
7,30,0
7,35,0

8,5,0.8
8,10,0.5
8,15,0.1
8,20,0
8,25,0
8,30,0
8,35,0

9,5,0.8
9,10,0.5
9,15,0.1
9,20,0
9,25,0
9,30,0
9,35,0

10,5,0.8
10,10,0.5
10,15,0.1
10,20,0
10,25,0
10,30,0
10,35,0

