Algorithm,Agents,SuccessCount,Total,SuccessRate

LCBS -k 1,5,10,10,1
LCBS -k 1,10,10,10,1
LCBS -k 1,15,10,10,1
LCBS -k 1,20,9,10,0.9
LCBS -k 1,25,6,10,0.6
LCBS -k 1,30,4,10,0.4
LCBS -k 1,35,0,10,0

BBMOCBS-k -k 1,5,10,10,1
BBMOCBS-k -k 1,10,10,10,1
BBMOCBS-k -k 1,15,9,10,0.9
BBMOCBS-k -k 1,20,6,10,0.6
BBMOCBS-k -k 1,25,3,10,0.3
BBMOCBS-k -k 1,30,0,10,0
BBMOCBS-k -k 1,35,0,10,0

BBMOCBS-k -k 5,5,10,10,1
BBMOCBS-k -k 5,10,10,10,1
BBMOCBS-k -k 5,15,8,10,0.8
BBMOCBS-k -k 5,20,5,10,0.5
BBMOCBS-k -k 5,25,1,10,0.1
BBMOCBS-k -k 5,30,0,10,0
BBMOCBS-k -k 5,35,0,10,0

BBMOCBS-k -k 10,5,10,10,1
BBMOCBS-k -k 10,10,9,10,0.9
BBMOCBS-k -k 10,15,7,10,0.7
BBMOCBS-k -k 10,20,3,10,0.3
BBMOCBS-k -k 10,25,0,10,0
BBMOCBS-k -k 10,30,0,10,0
BBMOCBS-k -k 10,35,0,10,0

BBMOCBS-eps,5,10,10,1
BBMOCBS-eps,10,7,10,0.7
BBMOCBS-eps,15,0,10,0
BBMOCBS-eps,20,0,10,0
BBMOCBS-eps,25,0,10,0
BBMOCBS-eps,30,0,10,0
BBMOCBS-eps,35,0,10,0

BBMOCBS-pex,5,10,10,1
BBMOCBS-pex,10,8,10,0.8
BBMOCBS-pex,15,4,10,0.4
BBMOCBS-pex,20,3,10,0.3
BBMOCBS-pex,25,0,10,0
BBMOCBS-pex,30,0,10,0
BBMOCBS-pex,35,0,10,0

