Algorithm,Agents,SuccessCount,Total,SuccessRate

LCBS -k 1,5,25,25,1
LCBS -k 1,10,21,25,0.84
LCBS -k 1,15,14,25,0.56
LCBS -k 1,20,13,25,0.52
LCBS -k 1,25,7,25,0.28
LCBS -k 1,30,0,25,0
LCBS -k 1,35,0,25,0

BBMOCBS-k -k 5,5,23,25,0.92
BBMOCBS-k -k 5,10,19,25,0.76
BBMOCBS-k -k 5,15,11,25,0.44
BBMOCBS-k -k 5,20,4,25,0.16
BBMOCBS-k -k 5,25,1,25,0.04
BBMOCBS-k -k 5,30,0,25,0
BBMOCBS-k -k 5,35,0,25,0

BBMOCBS-k -k 10,5,24,25,0.96
BBMOCBS-k -k 10,10,23,25,0.92
BBMOCBS-k -k 10,15,16,25,0.64
BBMOCBS-k -k 10,20,8,25,0.32
BBMOCBS-k -k 10,25,1,25,0.04
BBMOCBS-k -k 10,30,0,25,0
BBMOCBS-k -k 10,35,0,25,0

BBMOCBS-eps,5,25,25,1
BBMOCBS-eps,10,14,25,0.56
BBMOCBS-eps,15,4,25,0.16
BBMOCBS-eps,20,0,25,0
BBMOCBS-eps,25,0,25,0
BBMOCBS-eps,30,0,25,0
BBMOCBS-eps,35,0,25,0

BBMOCBS-pex,5,25,25,1
BBMOCBS-pex,10,21,25,0.84
BBMOCBS-pex,15,11,25,0.44
BBMOCBS-pex,20,2,25,0.08
BBMOCBS-pex,25,0,25,0
BBMOCBS-pex,30,0,25,0
BBMOCBS-pex,35,0,25,0

