Algorithm,Agents,SuccessCount,Total,SuccessRate

LCBS -k 1,5,21,25,0.84
LCBS -k 1,10,6,25,0.24
LCBS -k 1,15,1,25,0.04
LCBS -k 1,20,0,25,0
LCBS -k 1,25,0,25,0
LCBS -k 1,30,0,25,0
LCBS -k 1,35,0,25,0

BBMOCBS-k -k 1,5,16,25,0.6
BBMOCBS-k -k 1,10,5,25,0.12
BBMOCBS-k -k 1,15,1,25,0
BBMOCBS-k -k 1,20,0,25,0
BBMOCBS-k -k 1,25,0,25,0
BBMOCBS-k -k 1,30,0,25,0
BBMOCBS-k -k 1,35,0,25,0

BBMOCBS-k -k 5,5,16,25,0.64
BBMOCBS-k -k 5,10,5,25,0.2
BBMOCBS-k -k 5,15,1,25,0.04
BBMOCBS-k -k 5,20,0,25,0
BBMOCBS-k -k 5,25,0,25,0
BBMOCBS-k -k 5,30,0,25,0
BBMOCBS-k -k 5,35,0,25,0

BBMOCBS-k -k 10,5,16,25,0.64
BBMOCBS-k -k 10,10,4,25,0.16
BBMOCBS-k -k 10,15,1,25,0.04
BBMOCBS-k -k 10,20,0,25,0
BBMOCBS-k -k 10,25,0,25,0
BBMOCBS-k -k 10,30,0,25,0
BBMOCBS-k -k 10,35,0,25,0

BBMOCBS-eps,5,19,25,0.76
BBMOCBS-eps,10,5,25,0.2
BBMOCBS-eps,15,0,25,0
BBMOCBS-eps,20,0,25,0
BBMOCBS-eps,25,0,25,0
BBMOCBS-eps,30,0,25,0
BBMOCBS-eps,35,0,25,0

BBMOCBS-pex,5,18,25,0.72
BBMOCBS-pex,10,6,25,0.24
BBMOCBS-pex,15,1,25,0.04
BBMOCBS-pex,20,0,25,0
BBMOCBS-pex,25,0,25,0
BBMOCBS-pex,30,0,25,0
BBMOCBS-pex,35,0,25,0

