Algorithm,Agents,SuccessCount,Total,SuccessRate

LCBS -k 1,5,25,25,1
LCBS -k 1,10,25,25,1
LCBS -k 1,15,25,25,1
LCBS -k 1,20,20,25,0.8
LCBS -k 1,25,9,25,0.36
LCBS -k 1,30,6,25,0.24
LCBS -k 1,35,0,25,0

BBMOCBS-k -k 1,5,25,25,1
BBMOCBS-k -k 1,10,25,25,1
BBMOCBS-k -k 1,15,18,25,0.76
BBMOCBS-k -k 1,20,10,25,0.44
BBMOCBS-k -k 1,25,2,25,0.08
BBMOCBS-k -k 1,30,0,25,0
BBMOCBS-k -k 1,35,0,25,0

BBMOCBS-k -k 5,5,25,25,1
BBMOCBS-k -k 5,10,25,25,1
BBMOCBS-k -k 5,15,18,25,0.72
BBMOCBS-k -k 5,20,10,25,0.4
BBMOCBS-k -k 5,25,2,25,0.08
BBMOCBS-k -k 5,30,0,25,0
BBMOCBS-k -k 5,35,0,25,0

BBMOCBS-k -k 10,5,25,25,1
BBMOCBS-k -k 10,10,24,25,0.96
BBMOCBS-k -k 10,15,7,25,0.28
BBMOCBS-k -k 10,20,2,25,0.08
BBMOCBS-k -k 10,25,0,25,0
BBMOCBS-k -k 10,30,0,25,0
BBMOCBS-k -k 10,35,0,25,0

BBMOCBS-eps,5,25,25,1
BBMOCBS-eps,10,21,25,0.84
BBMOCBS-eps,15,1,25,0.04
BBMOCBS-eps,20,0,25,0
BBMOCBS-eps,25,0,25,0
BBMOCBS-eps,30,0,25,0
BBMOCBS-eps,35,0,25,0

BBMOCBS-pex,5,25,25,1
BBMOCBS-pex,10,24,25,0.96
BBMOCBS-pex,15,13,25,0.52
BBMOCBS-pex,20,3,25,0.12
BBMOCBS-pex,25,0,25,0
BBMOCBS-pex,30,0,25,0
BBMOCBS-pex,35,0,25,0

