Algorithm,Agents,SuccessCount,Total,SuccessRate

LCBS,5,25,25,1
LCBS,10,25,25,1
LCBS,15,25,25,1
LCBS,20,21,25,0.84
LCBS,25,12,25,0.48
LCBS,30,2,25,0.08
LCBS,35,0,25,0

BBMOCBS-k (k=5),5,25,25,1
BBMOCBS-k (k=5),10,25,25,1
BBMOCBS-k (k=5),15,19,25,0.76
BBMOCBS-k (k=5),20,14,25,0.56
BBMOCBS-k (k=5),25,2,25,0.08
BBMOCBS-k (k=5),30,0,25,0
BBMOCBS-k (k=5),35,0,25,0

BBMOCBS-eps,5,25,25,1
BBMOCBS-eps,10,23,25,0.92
BBMOCBS-eps,15,2,25,0.08
BBMOCBS-eps,20,0,25,0
BBMOCBS-eps,25,0,25,0
BBMOCBS-eps,30,0,25,0
BBMOCBS-eps,35,0,25,0

BBMOCBS-pex,5,25,25,1
BBMOCBS-pex,10,24,25,0.96
BBMOCBS-pex,15,10,25,0.4
BBMOCBS-pex,20,3,25,0.12
BBMOCBS-pex,25,0,25,0
BBMOCBS-pex,30,0,25,0
BBMOCBS-pex,35,0,25,0

