Algorithm,Agents,SuccessCount,Total,SuccessRate

LCBS,5,25,25,1
LCBS,10,25,25,1
LCBS,15,20,25,0.8
LCBS,20,5,25,0.2
LCBS,25,3,25,0.12
LCBS,30,0,25,0
LCBS,35,0,25,0

BBMOCBS-k (k=5),5,25,25,1
BBMOCBS-k (k=5),10,24,25,0.96
BBMOCBS-k (k=5),15,8,25,0.32
BBMOCBS-k (k=5),20,2,25,0
BBMOCBS-k (k=5),25,0,25,0
BBMOCBS-k (k=5),30,0,25,0
BBMOCBS-k (k=5),35,0,25,0

BBMOCBS-eps,5,25,25,1
BBMOCBS-eps,10,15,25,0.6
BBMOCBS-eps,15,1,25,0.04
BBMOCBS-eps,20,0,25,0
BBMOCBS-eps,25,0,25,0
BBMOCBS-eps,30,0,25,0
BBMOCBS-eps,35,0,25,0

BBMOCBS-pex,5,25,25,1
BBMOCBS-pex,10,23,25,0.92
BBMOCBS-pex,15,4,25,0.16
BBMOCBS-pex,20,0,25,0
BBMOCBS-pex,25,0,25,0
BBMOCBS-pex,30,0,25,0
BBMOCBS-pex,35,0,25,0

