Algorithm,Agents,SuccessCount,Total,SuccessRate

LCBS -k 1,5,25,25,0.9
LCBS -k 1,10,25,25,0.8
LCBS -k 1,15,25,25,0.7
LCBS -k 1,20,20,25,0.5
LCBS -k 1,25,12,25,0.3
LCBS -k 1,30,8,25,0.1
LCBS -k 1,35,2,25,0

BBMOCBS-k -k 1,5,25,25,0
BBMOCBS-k -k 1,10,23,25,0
BBMOCBS-k -k 1,15,19,25,0
BBMOCBS-k -k 1,20,14,25,0
BBMOCBS-k -k 1,25,2,25,0
BBMOCBS-k -k 1,30,0,25,0
BBMOCBS-k -k 1,35,0,25,0

BBMOCBS-k -k 5,5,25,25,0
BBMOCBS-k -k 5,10,23,25,0
BBMOCBS-k -k 5,15,19,25,0
BBMOCBS-k -k 5,20,14,25,0
BBMOCBS-k -k 5,25,2,25,0
BBMOCBS-k -k 5,30,0,25,0
BBMOCBS-k -k 5,35,0,25,0

BBMOCBS-k -k 10,5,25,25,0
BBMOCBS-k -k 10,10,23,25,0
BBMOCBS-k -k 10,15,18,25,0
BBMOCBS-k -k 10,20,5,25,0
BBMOCBS-k -k 10,25,0,25,0
BBMOCBS-k -k 10,30,0,25,0
BBMOCBS-k -k 10,35,0,25,0

BBMOCBS-eps,5,25,25,0
BBMOCBS-eps,10,19,25,0
BBMOCBS-eps,15,2,25,0
BBMOCBS-eps,20,0,25,0
BBMOCBS-eps,25,0,25,0
BBMOCBS-eps,30,0,25,0
BBMOCBS-eps,35,0,25,0

BBMOCBS-pex,5,25,25,0
BBMOCBS-pex,10,24,25,0
BBMOCBS-pex,15,17,25,0
BBMOCBS-pex,20,4,25,0
BBMOCBS-pex,25,0,25,0
BBMOCBS-pex,30,0,25,0
BBMOCBS-pex,35,0,25,0
